language,word
english,a
english,about
english,above
english,after
english,again
english,against
english,all
english,am
english,an
english,and
english,any
english,are
english,aren't
english,as
english,at
english,be
english,because
english,been
english,before
english,being
english,below
english,between
english,both
english,but
english,by
english,can't
english,cannot
english,could
english,couldn't
english,did
english,didn't
english,do
english,does
english,doesn't
english,doing
english,don't
english,down
english,during
english,each
english,few
english,for
english,from
english,further
english,had
english,hadn't
english,has
english,hasn't
english,have
english,haven't
english,having
english,he
english,he'd
english,he'll
english,he's
english,her
english,here
english,here's
english,hers
english,herself
english,him
english,himself
english,his
english,how
english,how's
english,i
english,i'd
english,i'll
english,i'm
english,i've
english,if
english,in
english,into
english,is
english,isn't
english,it
english,it's
english,its
english,itself
english,let's
english,me
english,more
english,most
english,mustn't
english,my
english,myself
english,no
english,nor
english,not
english,of
english,off
english,on
english,once
english,only
english,or
english,other
english,ought
english,our
english,ours
english,ourselves
english,out
english,over
english,own
english,same
english,shan't
english,she
english,she'd
english,she'll
english,she's
english,should
english,shouldn't
english,so
english,some
english,such
english,than
english,that
english,that's
english,the
english,their
english,theirs
english,them
english,themselves
english,then
english,there
english,there's
english,these
english,they
english,they'd
english,they'll
english,they're
english,they've
english,this
english,those
english,through
english,to
english,too
english,under
english,until
english,up
english,very
english,was
english,wasn't
english,we
english,we'd
english,we'll
english,we're
english,we've
english,were
english,weren't
english,what
english,what's
english,when
english,when's
english,where
english,where's
english,which
english,while
english,who
english,who's
english,whom
english,why
english,why's
english,with
english,won't
english,would
english,wouldn't
english,you
english,you'd
english,you'll
english,you're
english,you've
english,your
english,yours
english,yourself
english,yourselves
spanish,de
spanish,la
spanish,que
spanish,el
spanish,en
spanish,y
spanish,a
spanish,los
spanish,del
spanish,se
spanish,las
spanish,por
spanish,un
spanish,para
spanish,con
spanish,no
spanish,una
spanish,su
spanish,al
spanish,lo
spanish,como
spanish,más
spanish,pero
spanish,sus
spanish,le
spanish,ya
spanish,o
spanish,este
spanish,sí
spanish,porque
spanish,esta
spanish,entre
spanish,cuando
spanish,muy
spanish,sin
spanish,sobre
spanish,también
spanish,me
spanish,hasta
spanish,hay
spanish,donde
spanish,quien
spanish,desde
spanish,todo
spanish,nos
spanish,durante
spanish,todos
spanish,uno
spanish,les
spanish,ni
spanish,contra
spanish,otros
spanish,ese
spanish,eso
spanish,ante
spanish,ellos
spanish,e
spanish,esto
spanish,mí
spanish,antes
spanish,algunos
spanish,qué
spanish,unos
spanish,yo
spanish,otro
spanish,otras
spanish,otra
spanish,él
spanish,tanto
